Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
518,Emanuel Terry,PF,25,PHO,3,0,6,0,1.7,0,0,0,,0,1.7,0,0,0,0,,2.7,2.3,5,0.7,0.3,0,1.7,1.3,0
550,Ish Wainright,PF,27,PHO,28,0,7.5,0.8,2.1,0.362,0.3,1.1,0.29,0.4,1,0.444,0.44,0.1,0.3,0.429,0.7,0.6,1.3,0.4,0.3,0.2,0.4,1.1,1.9
553,M.J. Walker,SG,23,PHO,2,0,4,0,2,0,0,1,0,0,1,0,0,0,0,,0,0.5,0.5,0.5,1,0,0,0.5,0
52,Keljin Blevins,SF,26,POR,12,0,6.1,0.8,1.9,0.391,0.5,1.2,0.429,0.3,0.8,0.333,0.522,0,0.2,0,0.2,0.5,0.7,0.3,0,0,0.5,0.4,2
74,Greg Brown III,SF,20,POR,25,0,6.9,1.3,2.8,0.457,0.2,0.8,0.211,1.1,2,0.549,0.486,0.7,1.1,0.607,0.6,1.1,1.8,0.2,0.2,0.3,0.4,0.8,3.4
121,Jarron Cumberland,SG,24,POR,3,0,4,0.3,0.7,0.5,0,0.3,0,0.3,0.3,1,0.5,0,0,,0.3,0.7,1,0.3,0,0,0,0.7,0.7
156,CJ Elleby,SF,21,POR,32,4,13.8,1.6,3.9,0.411,0.5,1.6,0.308,1.1,2.3,0.486,0.476,0.5,0.6,0.85,0.8,1.9,2.8,1.1,0.5,0.2,0.5,1.5,4.2
325,Damian Lillard,PG,31,POR,29,29,36.4,7.7,19,0.402,3.2,9.8,0.324,4.5,9.2,0.485,0.486,5.5,6.2,0.878,0.4,3.7,4.1,7.3,0.6,0.4,2.9,1.3,24
326,Nassir Little,SF,21,POR,42,23,25.9,3.5,7.5,0.46,1.2,3.7,0.331,2.2,3.8,0.584,0.541,1.6,2.2,0.734,1.4,4.2,5.6,1.3,0.6,0.9,1,2,9.8
360,Cameron McGriff,SF,24,POR,3,0,15.3,1.7,4.7,0.357,0.7,2,0.333,1,2.7,0.375,0.429,0.7,0.7,1,2,3,5,1,0,0.3,0,2.3,4.7
365,Ben McLemore,SG,28,POR,39,6,18.3,3,7.6,0.392,2.3,6.1,0.378,0.7,1.5,0.448,0.544,0.6,0.8,0.781,0.3,1.2,1.5,0.8,0.4,0.1,0.7,1.4,8.9
396,Larry Nance Jr.,PF,29,POR,37,11,23.2,2.8,5.4,0.515,0.5,1.7,0.306,2.2,3.7,0.61,0.563,0.9,1.3,0.653,1.6,4.1,5.6,2,1,0.4,0.7,1.8,6.9
407,Jusuf Nurkić,C,27,POR,53,53,27.9,5.6,10.5,0.533,0.2,1,0.231,5.4,9.5,0.564,0.544,3.2,4.7,0.681,2.9,7.9,10.8,2.7,1.1,0.6,2.5,3.3,14.6
494,Anfernee Simons,SG,22,POR,50,23,29,5.8,13.3,0.439,2.9,7.3,0.392,3,6,0.497,0.547,1.6,1.8,0.888,0.5,2.2,2.7,3.7,0.5,0.1,1.9,1.9,16.1
499,Dennis Smith Jr.,PG,24,POR,37,4,17.2,2.1,5.1,0.418,0.2,0.7,0.222,2,4.4,0.451,0.434,1.1,1.7,0.656,0.5,1.8,2.4,3.6,1.2,0.3,1.4,1.4,5.6
503,Tony Snell,SG,30,POR,38,10,14.4,0.9,2.6,0.371,0.6,2,0.32,0.3,0.6,0.545,0.495,0.1,0.1,1,0.3,1.6,1.9,0.5,0.2,0.2,0.3,1.2,2.6
560,Trendon Watford,SF,21,POR,30,0,12.1,1.9,3.2,0.583,0,0.3,0,1.9,2.9,0.651,0.583,0.7,1,0.677,0.8,2.1,2.9,0.9,0.3,0.5,0.7,1.6,4.4
571,Brandon Williams,PG,22,POR,2,0,6,1,1.5,0.667,0,0,,1,1.5,0.667,0.667,2,3.5,0.571,0,1,1,1,0,0,0,0,4
590,Cody Zeller,C,29,POR,27,0,13.1,1.9,3.3,0.567,0,0.1,0,1.9,3.2,0.593,0.567,1.4,1.8,0.776,1.9,2.8,4.6,0.8,0.3,0.2,0.7,2.1,5.2
117,Robert Covington,PF-SF,31,POR,51,40,29.3,2.7,7,0.387,1.6,4.7,0.343,1.1,2.3,0.478,0.503,0.7,0.9,0.822,0.9,4.7,5.6,1.4,1.5,1.3,1.2,2.7,7.8
354,CJ McCollum,SG,30,POR,37,37,35.2,8,18.5,0.431,3.1,8.1,0.378,4.9,10.5,0.473,0.514,1.3,1.9,0.7,0.9,3.4,4.3,4.5,1,0.6,1.9,2.2,20.4
450,Norman Powell,SF-SG,28,POR,43,41,32.9,6.2,13.6,0.457,2.3,5.7,0.407,3.9,7.9,0.493,0.542,4.1,5.1,0.807,0.5,2.8,3.3,2.2,1,0.4,1.6,2.3,18.8
23,Marvin Bagley III,PF,22,SAC,30,17,21.9,3.8,8.2,0.463,0.5,2.1,0.242,3.3,6.1,0.538,0.494,1.2,1.6,0.745,2.2,4.9,7.2,0.6,0.3,0.4,0.7,1.7,9.3
30,Harrison Barnes,PF,29,SAC,52,52,33.8,5.2,11.3,0.462,2,4.9,0.412,3.2,6.3,0.502,0.553,4.7,5.6,0.829,1.1,5,6.1,2.5,0.7,0.2,1.6,1.3,17.1
127,Terence Davis,SG,24,SAC,30,11,17.9,3.8,8.9,0.423,1.6,5,0.329,2.1,3.9,0.542,0.515,1.2,1.5,0.818,0.4,2.8,3.1,1.3,0.8,0.4,1.1,2.3,10.4
171,De'Aaron Fox,PG,24,SAC,45,45,34.2,8,17.3,0.46,1,3.7,0.269,7,13.6,0.512,0.489,4.4,5.8,0.749,0.5,3.5,3.9,5.1,1.2,0.4,2.8,2.8,21.3
208,Tyrese Haliburton,SG,21,SAC,51,51,34.5,5.3,11.5,0.457,2,4.9,0.413,3.2,6.5,0.491,0.546,1.7,2,0.837,0.8,3.1,3.9,7.4,1.7,0.7,2.3,1.4,14.3
213,Maurice Harkless,SF,28,SAC,38,19,19.4,1.9,4.3,0.444,0.7,2.4,0.297,1.2,1.9,0.634,0.528,0.4,0.6,0.714,0.3,2.1,2.4,0.6,0.6,0.6,0.7,1.7,4.9
231,Buddy Hield,SG,29,SAC,55,6,28.6,4.8,12.6,0.382,3.3,9,0.368,1.5,3.6,0.419,0.514,1.5,1.7,0.87,0.8,3.2,4,1.9,0.9,0.3,1.6,2.1,14.4
241,Richaun Holmes,C,28,SAC,38,37,25.3,4.9,7.2,0.684,0.1,0.1,0.4,4.8,7,0.689,0.688,1.7,2.2,0.765,2.2,5.5,7.7,1.2,0.4,1,1.3,3,11.6
285,Damian Jones,C,26,SAC,37,5,15.2,2.4,3.8,0.638,0.1,0.4,0.357,2.3,3.4,0.669,0.656,1.3,1.8,0.727,1.4,2.5,3.9,1.1,0.3,0.6,1,2.1,6.3
300,Louis King,SF,22,SAC,10,0,10.4,1.5,4.7,0.319,0.8,2.7,0.296,0.7,2,0.35,0.404,0.7,1,0.7,0,1.2,1.2,0.9,0.2,0.1,0,1.4,4.5
